idx,title,authors,source,year,scopusUrl
113,Behavioural Reinforcement Learning (Beyond Rationality: RL under Investor Bias),"Buet-Golfouse F., Shelley O., Barbulescu G.-O.",Icaif 2025 6th ACM International Conference on AI in Finance,2025,https://scopus.unalproxy.elogim.com/pages/publications/105023082293?origin=resultslist
114,Learn to Rank Risky Investors: A Case Study of Predicting Retail Traders’ Behaviour and Profitability,"Li W.W., Ma T.","ACM Transactions on Information Systems, 44(1), 15",2025,https://scopus.unalproxy.elogim.com/pages/publications/105028733949?origin=resultslist
115,How good are LLMs in risk profiling?,"Hens T., Nordlie T.","Finance Research Letters, 85, 108102",2025,https://scopus.unalproxy.elogim.com/pages/publications/105013672553?origin=resultslist
116,New behaviorally-based cross-sectional reversal portfolios in the cryptocurrency market and market uncertainty,"Nakagawa K., Sakemoto R.","Finance Research Letters, 85, 107800",2025,https://scopus.unalproxy.elogim.com/pages/publications/105009419255?origin=resultslist
117,Psychological and technological factors shaping cryptocurrency investment: The moderating role of personality traits,"Changchit C., Cutshall R., Pham L., Bland E.","Acta Psychologica, 260, 105606",2025,https://scopus.unalproxy.elogim.com/pages/publications/105016807414?origin=resultslist
118,Anticipated psychological spreads: Cryptocurrencies’ hidden short-term monitors and implications for price forecasting,"M'bakob G.B., Mandeng ma Ntamack J., Mfouapon G.K.","Journal of International Financial Markets Institutions and Money, 104, 102224",2025,https://scopus.unalproxy.elogim.com/pages/publications/105016133747?origin=resultslist
119,Big Five Personality Traits and Financial Risk Tolerance among Retail Investors: A Systematic Literature Review,"Khaitan J., Singh D.","International Journal of Accounting and Economics Studies, 12(6)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105018889220?origin=resultslist
120,Reinventing renting? ESG investing and the new landlordism of build-to-rent housing financialization,Parish J.,"Environment and Planning A, 57(6)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105007633966?origin=resultslist
121,"The Role of Fear of Missing out (FOMO), Loss Aversion, and Herd Behavior in Gold Investment Decisions: A Study in the Vietnamese Market","Nguyen X.H., Bui D.A., Le N.A., Nguyen Q.T.","International Journal of Financial Studies, 13(3), 175",2025,https://scopus.unalproxy.elogim.com/pages/publications/105017050189?origin=resultslist
122,"Generational Insights into Herding Behavior: The Moderating Role of Investment Experience in Shaping Decisions Among Generations X, Y, and Z","Syukur A., Amron A., Riyanto F., Putra F.I.F.S., Pangemanan R.R.","International Journal of Financial Studies, 13(3), 176",2025,https://scopus.unalproxy.elogim.com/pages/publications/105017089500?origin=resultslist
123,Risk Perception as a Predictor of Heuristic Biases: The Role of Sex and Age,"Kathpal S., Akhtar A., Chishty S.K., Rafiq F.","Asia Pacific Financial Markets, 32(3)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85198934683?origin=resultslist
124,Behavioural factors in risk perception and financial decision making,Yan Z.,"Intelligent Decision Technologies, 19(5)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105015592298?origin=resultslist
125,Investor Emotions and Cognitive Biases in a Bearish Market Simulation: A Qualitative Study,"Finet A., Kristoforidis K., Laznicka J.","Journal of Risk and Financial Management, 18(9), 493",2025,https://scopus.unalproxy.elogim.com/pages/publications/105017391400?origin=resultslist
126,Happiness and stock market participation,Wenyan H.,"North American Journal of Economics and Finance, 80, 102491",2025,https://scopus.unalproxy.elogim.com/pages/publications/105008967856?origin=resultslist
127,The Psychological and Behavioural Determinants of Mutual Fund Investment Decisions in Bengaluru: A Mixed-Method Approach,"Uma B., Maheswari V.","International Journal of Accounting and Economics Studies, 12(sI-1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105016802190?origin=resultslist
128,Optimizing Communication Design for Robo-Advisors: The Effects of Investor Types and Information Strategies on Trust and Engagement during Financial Losses,"Kim E., Shin H., Oh C.","Archives of Design Research, 38(3)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105017485087?origin=resultslist
129,Psychological Factors and Investment Decision Making,"Raghu T., Murthy K.V.R., Mandala G.N.","International Journal of Accounting and Economics Studies, 12(4)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105014774379?origin=resultslist
130,Leveraging Generative AI to Address Behavioral Biases in the Investment Decisions of Gen Z and Millennials,"Grover D., Sangal S., Shabir S.S.",Generative AI Insights for Financial Decision Making,2025,https://scopus.unalproxy.elogim.com/pages/publications/105015502412?origin=resultslist
131,Optimization of sustainable portfolios considering behavioral biases: ESG risk management,Sadineni H.,Risk Management and Corporate Governance in Unpredictable Business Environments,2025,https://scopus.unalproxy.elogim.com/pages/publications/105013827197?origin=resultslist
132,Application of decision tree classification algorithm for financial management and risk early warning in universities,Xia T.,"Journal of Computational Methods in Sciences and Engineering, 25(4)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105007227617?origin=resultslist
133,Bibliometric review of behavioral finance and risk: A scientometric analysis using biblioshiny,"Shaikh A., Khan M.U.","Multidisciplinary Reviews, 8(7), e2025233",2025,https://scopus.unalproxy.elogim.com/pages/publications/85218746266?origin=resultslist
134,The X+Y+Z Code for Government-Guided Funds in Cultivating Unicorn Enterprises | 政府引导基金培育独角兽的 “X+Y+Z” 密码,"Dai Y., Li B., Wang Y.","Quarterly Journal of Economics and Management, 4(2)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105035889766?origin=resultslist
135,"Cognitive biases, Robo advisor and investment decision psychology: An investor's perspective from New York stock exchange","Ahmad U., Van Keulen M., Briassouli A., Saad M.","Acta Psychologica, 256, 105048",2025,https://scopus.unalproxy.elogim.com/pages/publications/105004009963?origin=resultslist
136,Causal Impact of Stock Price Crash Risk on Cost of Equity: Evidence from Chinese Markets,"Zonon B.I.P., Wang X., Chen C., Bouraima M.B.","Economies, 13(6), 158",2025,https://scopus.unalproxy.elogim.com/pages/publications/105009313174?origin=resultslist
137,Research on Financial Risk Warning Based on Intelligent Algorithms,Mou Y.,Proceedings of 2024 5th International Conference on Big Data Economy and Information Management Bdeim 2024,2025,https://scopus.unalproxy.elogim.com/pages/publications/105007547892?origin=resultslist
138,The role of behavioral finance in shaping economic decision-making: Insights from AI and big data integration,"Vashist D.D., Sharma M., Pandey P.",Understanding Human Decision Making in Economic Models,2025,https://scopus.unalproxy.elogim.com/pages/publications/105007398160?origin=resultslist
139,How (Not) to Measure Companies' Climate Transition Risk: A Framework and Categorized Literature Review,Fliegel P.,"Corporate Social Responsibility and Environmental Management, 32(3)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85214850041?origin=resultslist
140,"Herding behavior, disposition effect, and investment decisions: A multi-mediation analysis of risk perception and dividend policy","Bhutto S.A., Nazeer N., Saad M., Talreja K.","Acta Psychologica, 255, 104964",2025,https://scopus.unalproxy.elogim.com/pages/publications/105001328480?origin=resultslist
141,The market's implied loss aversion under power-log utility investor preferences,Kale J.K.,"Finance Research Letters, 78, 107154",2025,https://scopus.unalproxy.elogim.com/pages/publications/105000112918?origin=resultslist
142,Personality Traits as Moderator of Risk Perception and Investment Decision,"Kumari M., Sushma C., Kota P., Challa V.N.S.K., Kavitha S.R.","International Research Journal of Multidisciplinary Scope, 6(2)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105005627895?origin=resultslist
143,Gauging investors' investment decisions in the crypto market through the PRISM of behavioral biases: a fuzzy AHP approach,"Sood K., Pathak P., Jain J., Gupta S.","International Journal of Emerging Markets, 20(4)",2025,https://scopus.unalproxy.elogim.com/pages/publications/86000431625?origin=resultslist
144,Analyzes of common behavioral bias among Indo-Arabian investors and how to better manage them,"Mitra R.S., Bhanawat H.",Managing Sustainable Business Special Focus on Information Communication Technology and Energy Issues of Sustainable Development Goals,2025,https://scopus.unalproxy.elogim.com/pages/publications/105001762945?origin=resultslist
145,"THE INVESTMENT PUZZLE: UNVEILING BEHAVIORAL FINANCE, RISK PERCEPTION, AND FINANCIAL LITERACY","Almansour B.Y., Almansour A.Y., Elkrghli S., Shojaei S.A.","Economics Innovative and Economics Research Journal, 13(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/86000436224?origin=resultslist
146,Country-Level Loss Aversion and the Market Response to Earnings News,Neel M.,"International Journal of Accounting, 60(1), 2450021",2025,https://scopus.unalproxy.elogim.com/pages/publications/85217029181?origin=resultslist
147,A taxonomy of literature reviews and experimental study of deepreinforcement learning in portfolio management,"Rezaei M., Nezamabadi-Pour H.","Artificial Intelligence Review, 58(3), 94",2025,https://scopus.unalproxy.elogim.com/pages/publications/85218154143?origin=resultslist
148,"Crypto Investment: The Role of Investment Motivations, Investment Confidence, and Risk Perceptions","Zhang Y., Naveed K., Qi J.","Financial Services Review, 33(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105031740342?origin=resultslist
149,Smoothing the Subjective Financial Risk Tolerance: Volatility and Market Implications,"Heo W., Kim E.","Mathematics, 13(4), 680",2025,https://scopus.unalproxy.elogim.com/pages/publications/85219050860?origin=resultslist
150,Does cognitive biased knowledge influence investor decisions? An empirical investigation using machine learning and artificial neural network,"Bihari A., Dash M., Muduli K., ... Mulat-Weldemeskel E., Luthra S.","Vine Journal of Information and Knowledge Management Systems, 55(2)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85152025278?origin=resultslist
151,Asymmetric dependence between the prospect theory value and stock returns in India: a quantile regression approach,"Yadav M., Dixit G.","Managerial Finance, 51(2)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85205901996?origin=resultslist
152,Embedding behavioral biases into robo-advisory platforms-case of UAE investors,"Banerjee A., Kumar R.P., Mohnot R.","Journal of Risk Finance, 26(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85210401175?origin=resultslist
153,"Unveiling investment behavior: through emotional intelligence, social stigma, financial literacy and risk tolerance",Chaturvedi Sharma P.,"International Journal of Social Economics, 52(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85190541685?origin=resultslist
154,Risk Profiling in Insurance: Addressing High-Risk Clients and Risk Management Strategies,Vriscu M.,Springer Proceedings in Business and Economics,2025,https://scopus.unalproxy.elogim.com/pages/publications/105000826049?origin=resultslist
155,Personalized Stock Market Prediction using Dynamic Risk Profiling,"Vaidya S., Vaidya G., Kakde H., ... Dangore M., Sasipriya A.S.","16th International Conference on Advances in Computing Control and Telecommunication Technologies Act 2025, 2",2025,https://scopus.unalproxy.elogim.com/pages/publications/105034837147?origin=resultslist
156,Risk Tolerance in Investment Decisions,"Umakanth S., Makhija P., Tripathi M.",Applied Research for Growth Innovation and Sustainable Impact,2025,https://scopus.unalproxy.elogim.com/pages/publications/105032931295?origin=resultslist
157,Reconciling Self-Assessed with Psychometric Risk Tolerance: A New Framework for Profiling Risk among Investors,"Mazzoli C., Palmucci F.","Journal of Behavioral Finance, 26(2)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85174571509?origin=resultslist
158,A Novel AI-Driven Framework for Adaptive Investment Decision-Making Using India's Fiscal Budget Signals,"Venkatasubbu P., Patil R., Martina Jaincy D.E.",2025 International Conference on Sensors and Related Networks Sennet 2025 Special Focus on Digital Healthcare 64220,2025,https://scopus.unalproxy.elogim.com/pages/publications/105016313128?origin=resultslist
159,Improved Chatbot Tool for Stock Trading using Machine Learning,"Malarvizhi K., Akash A., Vasanth L., Rangarajan M.",Proceedings of 3rd International Conference on Intelligent Cyber Physical Systems and Internet of Things Icoici 2025,2025,https://scopus.unalproxy.elogim.com/pages/publications/105030323499?origin=resultslist
160,GOAL ORIENTED SMART PORTFOLIO OPTIMIZATION,"Deshpande A., Gore R., Shiravale S., Chougule S., Bahirgonde S.","Proceedings on Engineering Sciences, 7(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105000041022?origin=resultslist
161,Research on Investment Portfolio Risk Prediction Model Combining Cvar and Deep Learning,Wang Y.,Iccr 2025 3rd International Conference on Cyber Resilience,2025,https://scopus.unalproxy.elogim.com/pages/publications/105031571447?origin=resultslist
162,Forecasting Gilt Mutual Fund Performance Using Data-Driven Machine Learning Models,"Chinnasamy G., Vinoth S., Chandran P.",Proceedings of the 3rd International Conference on Intelligent and Innovative Technologies in Computing Electrical and Electronics Iitcee 2025,2025,https://scopus.unalproxy.elogim.com/pages/publications/105001571653?origin=resultslist
163,A Typology of Flexible Loan Structures for Microenterprise Lending: Balancing Sustainability and Client Needs,"Desai L.R., Waghmare G., Vasanthan R., ... Tandon N., Rajebhosale M.B.","Enterprise Development and Microfinance, 35(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105015460309?origin=resultslist
164,Analysis of Investor Profiling and Portfolio Recommendations by Robo-Advisors in Germany,Tahvildari M.,"Global Business and Finance Review, 30(8)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105015096085?origin=resultslist
165,Implementation of Clustering and Classification in Stock Asset Selection for Portfolio Diversification,"Alfarisi N., Palupi I.",2025 3rd International Conference on Software Engineering and Information Technology Icoseit 2025,2025,https://scopus.unalproxy.elogim.com/pages/publications/105031620110?origin=resultslist
166,"The role of robo-advisors in behavioural finance, shaping investment decisions","Kulkarni M.S., Patil K.P., Pramod D.","Cogent Economics and Finance, 13(1), 2571403",2025,https://scopus.unalproxy.elogim.com/pages/publications/105018950655?origin=resultslist
167,Economic Risks in the Development of Russia’s Southern Macroregion Amid Foreign Economic Sanctions | Экономические риски развития Южного макрорегиона в условиях внешнеЭкономических санкций,"Mitrofanova I.V., Kalinina A.E., Ivanova T.B.","Economy of Regions, 21(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105003027394?origin=resultslist
168,Irrational investors,Lu X.,Understanding Investment Risk and Return,2025,https://scopus.unalproxy.elogim.com/pages/publications/105033325380?origin=resultslist
169,Mapping the Landscape of Cryptocurrency Investment Decision: A Bibliometric Analysis,"Handoko B.L., Mustapha M., Halim D., Lindawati A.S.L.",2025 International Conference on ICT for Smart Society Iciss 2025,2025,https://scopus.unalproxy.elogim.com/pages/publications/105035295985?origin=resultslist
170,The Role of Behavioral Finance In Investment Decision-Making Using Machine Learning-Understanding the Psychology Behind Stock Market Trends,"Kalaivani E., Nagrajan S., Thirunavukkarasu T., ... Malarkodi K., Sharmiladevi D.",2025 International Conference on Automation and Computation Autocom 2025,2025,https://scopus.unalproxy.elogim.com/pages/publications/105003903637?origin=resultslist
171,"Impact of Anchoring, Herding and Loss-Aversion on Working Women’s Investment Decision-Making","Srivastava H., Moid S., Rushdi N.J.","Finance Theory and Practice, 29(5)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105020782404?origin=resultslist
172,Heuristic bias and investment decision: Exploring the mediating role of investors' risk perceptions,"Chaudhary M.K., Adhikari M., Ghimire D.M., Bhattarai D.R.","Investment Management and Financial Innovations, 22(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105000531285?origin=resultslist
173,A Bibliometric Analysis on Behaviour Biases and Investment Decisions Among Retail Investors,"Antony S.R., Siby J.K.","Journal of Applied Bioanalysis, 11(4)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105014970776?origin=resultslist
174,"Herding Behavior, Risk Perception, and Investment Performance: A Serial Mediation Analysis","Prasad Subedi P., Raj Sharma D., Sharma B.","Scientific Papers of the University of Pardubice Series D Faculty of Economics and Administration, 33(1), 2242",2025,https://scopus.unalproxy.elogim.com/pages/publications/105026719099?origin=resultslist
175,The impact of behavioural biases on the behaviours of informed and uninformed individual stock investors: case of the Egyptian Stock Exchange,"Gamal L., Wahba H.","Afro Asian Journal of Finance and Accounting, 15(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85216121285?origin=resultslist
176,Behavioural Finance Factors and Investment Decisions: Risk Perception of Gender as a Mediating Factor,"Sugathan S., Kumar A.",Computational Modelling Approaches to Fintech Innovation,2025,https://scopus.unalproxy.elogim.com/pages/publications/105025307888?origin=resultslist
177,Unpacking Investor Psychology: A Systematic Review and Meta-Analysis of Behavioural Biases Shaping Investment Decisions*,"Herathmenike H.M.M.A., Dewasiri N.J., Munasinghe A.","F1000research, 14, 1146",2025,https://scopus.unalproxy.elogim.com/pages/publications/105020770722?origin=resultslist
178,THE PSYCHOLOGY OF THE MARKET: ARE COGNITIVE ILLUSIONS DRIVING RISK-RELATED INVESTOR BEHAVIOUR?,"Wahba H., Abdulhamid A., Pasha R.","Risk Governance and Control Financial Markets and Institutions, 15(4)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105023489384?origin=resultslist
179,The influence of behavioral biases on the decisionmaking process about investments in the stock market,"Thakkar K., Sharma K., Lala R., ... Padia D., Mehta E.",Digital Transformation and Sustainability of Business,2025,https://scopus.unalproxy.elogim.com/pages/publications/105001743802?origin=resultslist
180,Decoding Investor Sentiments in the Indian Stock Market: A Structural Equation Modelling Approach,"Nain A., Borha N.S., Ali F., ... Chauhan S.S., Ahmad V.","F1000research, 13, 1378",2025,https://scopus.unalproxy.elogim.com/pages/publications/105007056022?origin=resultslist
181,The Impact of Robo-Advisors and Risk Tolerance on Retail Investor Portfolio Performance,Hasanudin,"Journal of Ecohumanism, 4(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85217566502?origin=resultslist
182,Empirical Evidence of Behavioral Biases in Investment: Should We Be Looking for Financial Variables to Moderate Them?,"Mehta P., Nahata N.",Economics and Finance Readings Selected Papers from Asia Pacific Conference on Economics Finance 2024,2025,https://scopus.unalproxy.elogim.com/pages/publications/105022398108?origin=resultslist
183,Research marking and yield in behavioural finance literature review: observations from bibliometric analysis using R,"Kalappa B., Upadhyay D.",Journal of Economic and Administrative Sciences,2025,https://scopus.unalproxy.elogim.com/pages/publications/105016716406?origin=resultslist
184,The Future of Finance: Designing Investment Strategies Through the Lens of SDG 12,"Alfehaid M.M.A., Taneja S., Bhatnagar M., Johri A., Shamsuddin Z.","International Journal of Environmental Impacts, 8(5)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105031012388?origin=resultslist
185,A New Approach for Selecting Representative Patterns for Investment Planning in Local Energy Communities,"Panier A., Zad B.B., De Greve Z.",International Conference on the European Energy Market Eem,2025,https://scopus.unalproxy.elogim.com/pages/publications/105011097147?origin=resultslist
186,Measuring contextuality in investment preferences,Khrennikova P.,"Annals of Operations Research, 014006",2025,https://scopus.unalproxy.elogim.com/pages/publications/105006619973?origin=resultslist
187,Decoding Investor’s Irrationality: A Fuzzy AHP Exploration of Behavioural Biases,"Abhijith R., Bijulal D.",Vision,2025,https://scopus.unalproxy.elogim.com/pages/publications/105003270528?origin=resultslist
188,The Role of Digital Technology in Influencing Investor Psychology and Promoting Sustainable Investment in the Indian Financial Market,"Sreekuttan S., Jakhiya M.R., Bhandari N.",2025 International Conference on Business Intelligence for Technology Innovation Icbiti 2025,2025,https://scopus.unalproxy.elogim.com/pages/publications/105040584596?origin=resultslist
189,Modeling behavioral insights to mobilize private investment in climate change adaptation: evidence from Chinese investors,"Ma Y., Al Mamun A., Hoque M.E., Masukujjaman M., Ja'afar R.","Environment Development and Sustainability, e01244",2025,https://scopus.unalproxy.elogim.com/pages/publications/85218276224?origin=resultslist
190,Financial deception in the digital age: investigating online pyramid schemes and their socioeconomic impacts in Sri Lanka,"Thilakarathna A.S., De Peiris N.",Journal of Financial Crime,2025,https://scopus.unalproxy.elogim.com/pages/publications/105017130224?origin=resultslist
191,A Behavioral Finance Analysis of Short-Term Loss Aversion and Herd Mentality in Personal Investing,"Nirmala M.M., Girisha V.J., Syama U.S., ... Ravi Kumar P., Tom T.","Studies in Big Data, 169",2025,https://scopus.unalproxy.elogim.com/pages/publications/105010852657?origin=resultslist
192,Portfolio management with the help of AI: What drives retail Indian investors to robo-advisors?,Banerjee S.,"Electronic Journal of Information Systems in Developing Countries, 91(1), e12346",2025,https://scopus.unalproxy.elogim.com/pages/publications/85200684345?origin=resultslist
193,Assessing risk and loss aversion: COVID-19 and investor behavior in the Polish stock market,"Lukowski M., Sliwinski P., Gemra K., Maruszewski J.",Central European Management Journal,2025,https://scopus.unalproxy.elogim.com/pages/publications/105015424455?origin=resultslist
194,Behavioural finance,"Fullbrunn S., Nolte S.",Elgar Encyclopedia of Behavioural and Experimental Economics,2025,https://scopus.unalproxy.elogim.com/pages/publications/105008846643?origin=resultslist
195,Artificial intelligence and behavioural finance biases: improving Lebanese investors decision-making,"Chammaa C., Haddad L.","Journal of Decision Systems, 34(1), 2537076",2025,https://scopus.unalproxy.elogim.com/pages/publications/105014879131?origin=resultslist
196,Portfolio choice with narrow framing and loss aversion: a simplified approach,"Grant A., Kwon O.K., Satchell S.","European Journal of Finance, 31(4)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105001992028?origin=resultslist
197,Systematic review of behavioral finance contributions to financial risk management strategies,"Rawat K., Thakkar A., Dhanabalan T., ... Sudhir R., Kumar S.","Multidisciplinary Reviews, 8, e2025ss0322",2025,https://scopus.unalproxy.elogim.com/pages/publications/105029757580?origin=resultslist
198,Social Media Engagement as a Lens for Investor Behavior,"Sinha R.K., Abhilasha R., Mukhopadhyay R.",Applied Research for Growth Innovation and Sustainable Impact,2025,https://scopus.unalproxy.elogim.com/pages/publications/105032972439?origin=resultslist
199,Influence of Behavioral Biases on Women Investor’s Portfolio Performance,"Updayay M.S., Nagadeepa C., Jaheer Mukthar K.P., Khafajeh H.","Studies in Systems Decision and Control, 587",2025,https://scopus.unalproxy.elogim.com/pages/publications/105026775659?origin=resultslist
200,Generation Z to Millennials: A Study on Behaviour of Investors of Bengaluru City,"Vincent Paul S., James R., Devika Rani N., Pallavi I.J.","Studies in Systems Decision and Control, 607",2025,https://scopus.unalproxy.elogim.com/pages/publications/105019323253?origin=resultslist
201,The determinants of perceived risk: A moderating role of investor sophistication,"Colline F., Rusmanto T., Warganegara D.L., Hutagaol Y.R.I.","Humanities and Social Sciences Letters, 13(1)",2025,https://scopus.unalproxy.elogim.com/pages/publications/85219733707?origin=resultslist
202,The Neuroscience of Risk Perception in Financial Markets: How Climate Policy Uncertainty Affects Investor Cognition in India and the USA,"Agrawal P.K., Kumar M., Kushwaha V., ... Agrawal S., Rana G.","Annals of Neurosciences, 09727531251364683",2025,https://scopus.unalproxy.elogim.com/pages/publications/105016851787?origin=resultslist
203,Mechanisms Underlying U.S.-China Tensions and Stock Price Crash Risk: Evidence from China,"Wang J.-N., Liu H.-C., Hsu Y.-T.",Journal of Behavioral Finance,2025,https://scopus.unalproxy.elogim.com/pages/publications/105021041654?origin=resultslist
204,Research on the impact of environmental risk factors on pricing efficiency in China’s stock market,"Li G., Chu H., Liu Y.","Environment and Social Psychology, 10(5), 3602",2025,https://scopus.unalproxy.elogim.com/pages/publications/105008011823?origin=resultslist
205,"Artificial Intelligence and Digital Decision-Making: Personality Traits, Risk Aversion, and Investment Intentions in the Era of Digitalization","Do H.P., Nguyen M.T., Bui A.N.",Eee Am 2025 IEEE 2nd Asia Meeting on Environment and Electrical Engineering,2025,https://scopus.unalproxy.elogim.com/pages/publications/105036857109?origin=resultslist
206,The Fe ar Z Function: modeling asymmetric volatility decay across market shock categories,Kim S.,Review of Behavioral Finance,2025,https://scopus.unalproxy.elogim.com/pages/publications/105025102788?origin=resultslist
207,The effect of investors’ emotional and depressive states on perceived returns and risk,"Lonkani R., Changchit C., Cutshall R., Treerotchananon A., Prasertsoontorn T.",Journal of Asian Business and Economic Studies,2025,https://scopus.unalproxy.elogim.com/pages/publications/105007294481?origin=resultslist
208,Quantum Computing and Algorithms in Financial Applications,"Riyath M.I.M., Aldabbous N., Jaboob M., Irfan M.",Quantum Driven Financial Intelligence Innovations in Predictive Analytics and Autonomous Trading Systems,2025,https://scopus.unalproxy.elogim.com/pages/publications/105025268358?origin=resultslist
209,MABStocks: A Stock Market Analysis and Prediction Platform Using Multi-Armed Bandit Algorithms,"Saathwika, Harshitha S., Madhyastha S., Shetty J.",2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions Csitss 2025,2025,https://scopus.unalproxy.elogim.com/pages/publications/105031455955?origin=resultslist
210,Stablecoin as a hedge or a safe haven for international indices,"Bo C., Li X., Li Y., Liang X.",China Finance Review International,2025,https://scopus.unalproxy.elogim.com/pages/publications/105024689574?origin=resultslist
211,Probability-Driven Hedge Ratio Optimization Using Machine Learning: An Adaptive Approach to Financial Risk Management,Peng Y.-L.,Proceedings 29th IEEE Acis International Conference on Software Engineering Artificial Intelligence Networking and Parallel Distributed Computing Snpd 2025 Summer,2025,https://scopus.unalproxy.elogim.com/pages/publications/105031082994?origin=resultslist
212,Community Bonds and Canada’s Foundations: Rethinking Risk and Financial Outcomes,"Quenneville R., Hebb T.","Canadian Journal of Nonprofit and Social Economy Research, 16(3)",2025,https://scopus.unalproxy.elogim.com/pages/publications/105028530745?origin=resultslist
213,Research on Investor Education in China Based on Large Language Models,"Xie X., Yang X., Cui R.",2025 14th International Conference on Educational and Information Technology Iceit 2025,2025,https://scopus.unalproxy.elogim.com/pages/publications/105004984727?origin=resultslist
214,Stock Return Predictability on S&P 500 ETF: A Deep Learning Approach,"Hortua H.J., Mora-Valencia A., Vanegas E.",Annals of Data Science,2025,https://scopus.unalproxy.elogim.com/pages/publications/105017454210?origin=resultslist
215,Residential Real Estate Image Classification for Property Valuation,"Nejad M.Z., Naderpour M., Behbood V., Ramezani F., Lu J.","Communications in Computer and Information Science, 2262",2025,https://scopus.unalproxy.elogim.com/pages/publications/105003640030?origin=resultslist
216,Economic and psychological determination in civil servants' investment decisions ahead of retirement: empirical evidence from Indonesia,"Djuachiriaty Y., Jamaliah, Putra W., Rosyadi, Bustami","Economic Annals Xxi, 212(11-12)",2024,https://scopus.unalproxy.elogim.com/pages/publications/105019355415?origin=resultslist
217,BIAS IN SME INVESTMENT DECISIONS: A CROSS-COUNTRY STUDY | STRONNICZOŚĆ W DECYZJACH INWESTYCYJNYCH MŚP: BADANIE MIĘDZYKRAJOWE,"Rafinda A., Suroso A., Purwaningtyas P., Mubaroq A.C.","Polish Journal of Management Studies, 30(1)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85216494442?origin=resultslist
218,Using machine learning to predict investors’ switching behaviour,"Nixon P., Gilbert E.","Journal of Behavioral and Experimental Finance, 44, 100992",2024,https://scopus.unalproxy.elogim.com/pages/publications/85204457914?origin=resultslist
219,"Dissecting investment frequency: examining the role of social influence, investors’ perception of gender discrimination, involvement, access to information and risk tolerance","Singh A., Biswas A.","Social Responsibility Journal, 20(10)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85201108637?origin=resultslist
220,"All are interesting to invest, I fear of missing out (FOMO): a comparative study among self-employed and salaried investors","Kumar J., Rani M., Rani G., Rani V.","Journal of Financial Regulation and Compliance, 32(5)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85203025011?origin=resultslist
221,Behavioral risk profiling: Measuring loss aversion of individual investors,"van Dolder D., Vandenbroucke J.","Journal of Banking and Finance, 168, 107293",2024,https://scopus.unalproxy.elogim.com/pages/publications/85201779872?origin=resultslist
222,Machine learning based methods for ratemaking health care insurance,"Ben Hamida A., Kacem M., de Peretti C., Belkacem L.","International Journal of Market Research, 66(6)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85201550320?origin=resultslist
223,Exploring the influence of behavioral aspects on stock investment decision-making: a study on Bangladeshi individual investors,"Hossain T., Siddiqua P.","Psu Research Review, 8(2)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85133333704?origin=resultslist
224,The analysis of the impact of the framing effect on the choice of financial products: an analytical hierarchical process approach,"Ventre V., Martino R., Castellano R., Sarnacchiaro P.","Annals of Operations Research, 342(3)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85146327347?origin=resultslist
225,"IMPACT OF BEHAVIOURAL FINANCE ON RISK PERCEPTION, PSYCHOLOGICAL BEHAVIOUR, AND FINANCIAL DECISIONS OF MOROCCAN INVESTORS","El Ghmari O., El Ghmari I., Trid S., M'hamdi M.","Financial and Credit Activity Problems of Theory and Practice, 5(58)",2024,https://scopus.unalproxy.elogim.com/pages/publications/85209106570?origin=resultslist
