wos_id,title,authors,journal,year,volume,pages,doi
WOS:000584982400002,An emergent taxonomy for operational risk: capturing the wisdom of crowds,"Carrivick, Luke and Bishop, Steve and Ivell, Tom and Wong, Valerie and Farha, Ramy",JOURNAL OF OPERATIONAL RISK,2020,15,1-26,10.21314/JOP.2020.238
WOS:000457610200010,Increasing return response to changes in risk,"Dicle, Mehmet F.",REVIEW OF FINANCIAL ECONOMICS,2019,37,197-215,10.1002/rfe.1032
WOS:000720289700001,History matters: How short-term price charts hurt investment performance,"Borsboom, Charlotte and Janssen, Dirk-Jan and Strucks, Markus and Zeisberger, Stefan",JOURNAL OF BANKING \& FINANCE,2022,134,,10.1016/j.jbankfin.2021.106351
WOS:000739867400001,A new behavioral finance mean variance framework,"Feldman, Todd and Liu, Shuming",REVIEW OF BEHAVIORAL FINANCE,2023,15,355-370,10.1108/RBF-05-2021-0088
WOS:000640352200007,The Efficient Frontuzzle: What Investment Risk Profiling Still Fails to Solve,"Hubble, Amy and Grable, John E.",JOURNAL OF INVESTING,2019,28,73-90,10.3905/joi.2019.1.098
WOS:000859993800030,A study on stock market investors during COVID phase - prospect theory approach,"Virdikar, Bhagyashree and Kulkarni, Mugdha",CARDIOMETRY,2022,,263-271,10.18137/cardiometry.2022.23.263271
WOS:000511223400008,"Easy, breezy, risky: Lay investors fail to diversify because correlated assets feel more fluent and less risky","Cornil, Yann and Hardisty, David J. and Bart, Yakov",ORGANIZATIONAL BEHAVIOR AND HUMAN DECISION PROCESSES,2019,153,103-117,10.1016/j.obhdp.2019.06.001
WOS:000704508100002,Maximum Drawdown Distributions: The Cross-Asset Dimension,"Warken, Peter and Kostyrina, Angelina",JOURNAL OF INVESTING,2021,30,7-21,10.3905/joi.2021.1.194
WOS:001646675200001,The Influence of Investor Sentiment on the South African Property Market: A Comparative Assessment of JSE Indices,"Nel, Charlize and Moodley, Fabian and Ferreira-Schenk, Sune",INTERNATIONAL JOURNAL OF FINANCIAL STUDIES,2025,13,,10.3390/ijfs13040231
WOS:001450670100001,The market's implied loss aversion under power-log utility investor preferences,"Kale, Jivendra K.",FINANCE RESEARCH LETTERS,2025,78,,10.1016/j.frl.2025.107154
WOS:001611332900001,Investor negativity derived from news shapes firm distress dynamics under bounded rationality,"Pham, Xuan Thi Thanh and Huynh, Dat Tan and Nguyen, Nhu Thi Kim and Luu, Thu Bich",JOURNAL OF ECONOMICS AND DEVELOPMENT,2025,27,309-321,10.1108/JED-06-2025-0296
WOS:001472818700001,Portfolio Selection Based on Time-Frequency Connectedness: Evidence from GCC Sectoral Stock Markets and the Oil Market,"Ben Amar, Amine and Hachicha, Nejib and Brahim, Mariem and Sbihi, Abdelkader",COMPUTATIONAL ECONOMICS,2026,67,2151-2181,10.1007/s10614-025-10937-w
WOS:001710896200001,Understanding the disposition effect: a phenomenological study of investor experiences in Nepal,"Paudel, Moti Ram and Thapa, Bharat Singh and Ghimire, Shankar",QUALITATIVE RESEARCH IN FINANCIAL MARKETS,2026,,,10.1108/QRFM-03-2025-0064
WOS:001584790400002,Unveiling the attitudinal factors: an integration of TPB and SCT in understanding investor intention towards equity investments,"Singh, Anurag and Goel, Utkarsh and Kumar, Shailendra and Johri, Amar",HUMANITIES \& SOCIAL SCIENCES COMMUNICATIONS,2025,12,,10.1057/s41599-025-05478-4
WOS:001205634100001,An uncertainty theory based tri-objective behavioral portfolio selection model with loss aversion and reference level using a modified evolutionary root system growth algorithm,"Chen, Yuefen and Li, Bo",JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,2024,446,,10.1016/j.cam.2024.115859
WOS:001095947000001,"The Impact of Emotional Finance, and Market Knowledge and Investor Protection on Investment Performance in Stock and Real Estate Markets","Irfan, Muhammad and Adeel, Raima and Malik, Muhammad Shaukat",SAGE OPEN,2023,13,,10.1177/21582440231206900
WOS:000960932800001,Does cognitive biased knowledge influence investor decisions? An empirical investigation using machine learning and artificial neural network,"Bihari, Anshita and Dash, Manoranjan and Muduli, Kamalakanta and Kumar, Anil and Mulat-Weldemeskel, Eyob and Luthra, Sunil",VINE JOURNAL OF INFORMATION AND KNOWLEDGE MANAGEMENT SYSTEMS,2025,55,445-469,10.1108/VJIKMS-08-2022-0253
WOS:001056514800001,A K-Means Classification and Entropy Pooling Portfolio Strategy for Small and Large Capitalization Cryptocurrencies,"Mba, Jules Clement and Angaman, Ehounou Serge Eloge Florentin",ENTROPY,2023,25,,10.3390/e25081208
WOS:001560366600001,Artificial intelligence and behavioural finance biases: improving Lebanese investors decision-making,"Chammaa, Claude and Haddad, Leina",JOURNAL OF DECISION SYSTEMS,2025,34,,10.1080/12460125.2025.2537076
WOS:001410142500001,Country-Level Loss Aversion and the Market Response to Earnings News,"Neel, Michael",INTERNATIONAL JOURNAL OF ACCOUNTING,2025,60,,10.1142/S1094406024500215
WOS:001785299700001,"The Interplay Between Behavioral Finance and Environmental, Social, and Governance (ESG) Investment Decisions: Evidence From Chinese Listed Firms","Wang, Bo- Ge and Alsagr, Naif and Chien, Fengsheng",BUSINESS STRATEGY AND THE ENVIRONMENT,2026,,,10.1002/bse.71103
WOS:001750491900001,The Flow-Performance Relationship and Behavioral Biases: Evidence from Spanish Mutual Fund Flows,"Arenas-Laorga, Carlos and Gil Capella, Fernando",RISKS,2026,14,,10.3390/risks14040088
WOS:001688508800001,COVID-19 pandemic and analysts' stock recommendation: an empirical analysis of citywide static management in Shanghai,"Jia, Shaoqing and Zhou, Yixun and Liu, Dongxin and Zhou, Fangzhao",REVIEW OF QUANTITATIVE FINANCE AND ACCOUNTING,2026,,,10.1007/s11156-026-01496-8
